DATE,7am,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm,12am,1am,2am,3am,4am,5am,6am
2019-10-15,5,23,38,68,76,125,83,105,100,77,81,79,84,84,98,106,96,81,54,28,17,14,10,4
2019-10-16,7,27,60,95,117,113,88,114,107,106,104,79,77,84,88,95,98,94,60,41,23,17,10,7
2019-10-17,6,32,N/A,69,55,122,78,88,92,88,78,48,41,54,67,69,75,48,39,20,10,8,5,6
2019-10-18,3,17,27,57,102,91,91,57,49,31,19,4,6,8,x,x,x,x,x,x,x,x,x,x
2019-10-19,x,x,x,5,12,20,24,18,16,15,17,9,7,6,x,x,x,x,x,x,x,x,x,x
2019-10-20,x,x,x,5,12,46,58,62,70,67,59,59,62,51,48,40,38,26,20,18,6,3,3,4
2019-10-21,3,19,41,98,117,107,100,98,91,88,93,71,67,75,78,76,71,39,30,26,15,9,8,6
2019-10-22,8,22,35,64,48,117,88,69,60,57,59,47,54,64,55,53,41,29,32,25,13,14,10,4
2019-10-23,6,12,33,82,75,66,63,62,46,24,9,15,7,6,5,6,2,1,1,1,x,x,x,x
2019-10-24,2,2,4,5,6,10,11,13,16,13,18,x,x,x,x,x,x,x,x,x,x,x,x,x
2019-10-25,0,5,5,7,12,15,27,23,22,21,17,x,x,x,x,x,x,x,x,x,x,x,x,x
2019-10-26,x,x,x,0,7,8,12,12,11,8,6,x,x,x,x,x,x,x,x,x,x,x,x,x
2019-10-27,x,x,x,3,6,21,42,46,61,49,43,41,45,43,39,33,28,22,30,24,6,2,1,3
2019-10-28,5,28,37,99,110,107,108,113,109,102,89,87,89,98,102,91,69,42,38,23,7,2,4,4
2019-10-29,6,19,22,65,86,105,80,81,94,68,N/A,78,71,79,83,72,69,49,58,36,30,18,11,7
2019-10-30,9,39,68,87,92,109,83,96,94,90,87,N/A,77,92,85,65,64,48,38,28,25,11,7,3
2019-10-31,5,21,56,75,82,117,74,67,70,79,66,45,51,53,45,43,41,24,20,18,7,4,3,3
2019-11-01,6,20,46,105,97,N/A,58,N/A,N/A,N/A,N/A,17,5,6,,x,x,x,x,x,x,x,x,x
2019-11-02,x,x,x,5,20,27,45,37,33,29,35,17,19,25,x,x,x,x,x,x,x,x,x,x
2019-11-03,x,x,x,3,9,21,27,29,42,36,47,58,63,67,62,58,36,28,26,11,2,1,1,1
2019-11-04,3,13,37,112,103,96,97,119,107,138,112,71,69,65,62,82,76,59,38,19,16,7,8,5
2019-11-05,7,39,45,70,57,143,66,79,68,78,70,58,85,91,101,87,89,96,35,16,11,8,8,7
2019-11-06,9,29,38,83,98,122,123,98,95,84,86,61,84,86,87,82,68,72,23,15,3,1,1,1
2019-11-07,4,11,34,53,52,133,65,63,75,69,52,33,44,39,42,51,55,57,27,13,6,3,3,4
2019-11-08,6,26,43,64,94,90,50,62,N/A,N/A,N/A,9,5,4,x,x,x,x,x,x,x,x,x,x
