DATE,7am,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm,12am,1am,2am,3am,4am,5am,6am
2021-07-01,x,x,1,1,1,0,0,1,1,0,0,x,x,x,x,x,x,x,x,x,x,x,x,x
2021-07-02,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2021-07-03,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2021-07-04,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2021-07-05,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2021-07-06,x,x,0,0,1,1,1,0,0,0,0,x,x,x,x,x,x,x,x,x,x,x,x,x
2021-07-07,x,x,0,1,4,1,1,0,1,1,0,x,x,x,x,x,x,x,x,x,x,x,x,x
2021-07-08,x,x,0,0,1,3,2,1,0,0,0,x,x,x,x,x,x,x,x,x,x,x,x,x
2021-07-09,x,x,0,1,0,0,0,1,0,0,0,x,x,x,x,x,x,x,x,x,x,x,x,x
2021-07-10,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2021-07-11,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2021-07-12,x,x,0,1,0,0,0,1,2,0,0,x,x,x,x,x,x,x,x,x,x,x,x,x
2021-07-13,x,x,0,0,2,0,0,1,2,0,0,x,x,x,x,x,x,x,x,x,x,x,x,x
2021-07-14,x,x,0,2,4,3,1,2,1,1,0,x,x,x,x,x,x,x,x,x,x,x,x,x
2021-07-15,x,x,0,0,2,3,1,2,1,0,0,x,x,x,x,x,x,x,x,x,x,x,x,x
2021-07-16,x,x,0,4,4,3,3,2,2,2,0,x,x,x,x,x,x,x,x,x,x,x,x,x
2021-07-17,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2021-07-18,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2021-07-19,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2021-07-20,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2021-07-21,x,x,1,3,2,3,3,1,0,0,0,x,x,x,x,x,x,x,x,x,x,x,x,x
2021-07-22,x,x,0,1,0,1,1,1,0,0,0,x,x,x,x,x,x,x,x,x,x,x,x,x
2021-07-23,x,x,0,1,1,1,0,2,2,0,0,x,x,x,x,x,x,x,x,x,x,x,x,x
2021-07-24,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2021-07-25,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2021-07-26,x,x,0,0,1,2,1,1,0,0,0,x,x,x,x,x,x,x,x,x,x,x,x,x
2021-07-27,x,x,0,1,1,1,2,0,0,1,0,x,x,x,x,x,x,x,x,x,x,x,x,x
2021-07-28,x,x,0,1,2,0,0,0,1,2,0,x,x,x,x,x,x,x,x,x,x,x,x,x
2021-07-29,x,x,1,1,0,1,1,1,0,0,0,x,x,x,x,x,x,x,x,x,x,x,x,x
2021-07-30,x,x,0,1,1,2,2,3,3,0,0,x,x,x,x,x,x,x,x,x,x,x,x,x
2021-07-31,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2021-08-01,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
